"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"59","RT @bachrum_achmadi: Yg korupsi pejabat, yg bisnis PCR pejabat, yg bikin gaduh pejabat, yg gagal sejahterakan rakyat pemerintah.

Tp yg kle…",FALSE,0,NA,2021-11-19 08:59:02,FALSE,NA,"1461620019037491200",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MuliaBatam",441,TRUE,FALSE,NA,NA
"60","RT @bachrum_achmadi: Yg korupsi pejabat, yg bisnis PCR pejabat, yg bikin gaduh pejabat, yg gagal sejahterakan rakyat pemerintah.

Tp yg kle…",FALSE,0,NA,2021-11-19 08:45:00,FALSE,NA,"1461616486011719684",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KsatriaRinjani",441,TRUE,FALSE,NA,NA
"61","RT @bachrum_achmadi: Yg korupsi pejabat, yg bisnis PCR pejabat, yg bikin gaduh pejabat, yg gagal sejahterakan rakyat pemerintah.

Tp yg kle…",FALSE,0,NA,2021-11-19 08:00:22,FALSE,NA,"1461605252382138370",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nochebonk",441,TRUE,FALSE,NA,NA
"62","RT @bachrum_achmadi: Yg korupsi pejabat, yg bisnis PCR pejabat, yg bikin gaduh pejabat, yg gagal sejahterakan rakyat pemerintah.

Tp yg kle…",FALSE,0,NA,2021-11-19 06:56:36,FALSE,NA,"1461589206103298054",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","angga_key",441,TRUE,FALSE,NA,NA
"63","RT @bachrum_achmadi: Yg korupsi pejabat, yg bisnis PCR pejabat, yg bikin gaduh pejabat, yg gagal sejahterakan rakyat pemerintah.

Tp yg kle…",FALSE,0,NA,2021-11-19 06:50:44,FALSE,NA,"1461587728139620354",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ahmadipa1398",441,TRUE,FALSE,NA,NA
"64","RT @bachrum_achmadi: Yg korupsi pejabat, yg bisnis PCR pejabat, yg bikin gaduh pejabat, yg gagal sejahterakan rakyat pemerintah.

Tp yg kle…",FALSE,0,NA,2021-11-19 06:28:03,FALSE,NA,"1461582023462506496",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KurniaAlamsya16",441,TRUE,FALSE,NA,NA
"65","@demokrasibodong Kalo bobrok pemerintah udah keliatan<U+3001> media akan di tutup Dengan berita sara, bokep, artis narkoba… https://t.co/dllKnWAaxZ",FALSE,0,"demokrasibodong",2021-11-19 06:14:39,TRUE,"1461512643684933633","1461578649379897345","1344527646877655040","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BagasPu29581704",0,FALSE,FALSE,NA,NA
"66","RT @AlifKamal__: Pengusahanya ngeluh
Masyrakatnya ngeluh

Tanggungjawab pemerintah???

https://t.co/wzxj9JXrZe",FALSE,0,NA,2021-11-19 05:48:31,FALSE,NA,"1461572070786035717",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","irfan_mboade",4,TRUE,FALSE,NA,NA
"67","RT @AlifKamal__: Pengusahanya ngeluh
Masyrakatnya ngeluh

Tanggungjawab pemerintah???

https://t.co/wzxj9JXrZe",FALSE,0,NA,2021-11-19 05:44:08,FALSE,NA,"1461570969122734084",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Muhamma_Ridwan1",4,TRUE,FALSE,NA,NA
"68","RT @AlifKamal__: Pengusahanya ngeluh
Masyrakatnya ngeluh

Tanggungjawab pemerintah???

https://t.co/wzxj9JXrZe",FALSE,0,NA,2021-11-19 05:43:48,FALSE,NA,"1461570885626699776",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BinsarRitonga4",4,TRUE,FALSE,NA,NA
"69","Pengusahanya ngeluh
Masyrakatnya ngeluh

Tanggungjawab pemerintah???

https://t.co/wzxj9JXrZe",FALSE,17,NA,2021-11-19 05:42:21,FALSE,NA,"1461570519761702912",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","AlifKamal__",4,FALSE,FALSE,NA,NA
"70","RT @bachrum_achmadi: Yg korupsi pejabat, yg bisnis PCR pejabat, yg bikin gaduh pejabat, yg gagal sejahterakan rakyat pemerintah.

Tp yg kle…",FALSE,0,NA,2021-11-19 05:33:16,FALSE,NA,"1461568233501167619",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","palbapang1",441,TRUE,FALSE,NA,NA
"71","RT @bachrum_achmadi: Yg korupsi pejabat, yg bisnis PCR pejabat, yg bikin gaduh pejabat, yg gagal sejahterakan rakyat pemerintah.

Tp yg kle…",FALSE,0,NA,2021-11-19 05:23:35,FALSE,NA,"1461565796623081473",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NugrohoSandee",441,TRUE,FALSE,NA,NA
